Reporting Period,Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Program Type,Solicitation,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Remote Net Metering,Affordable Solar,Community Distributed Generation,Green Jobs Green New York Participant,Georeference
6/30/21,164679,,New Hyde Park,Nassau,NY,11040,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/28/18,1/31/19,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE5000H-US [240V],1,Trina Solar,TSM-300DD05A.05(II),17,19125,,5.1,5141,,No,No,Yes,POINT (-73.680183 40.744867)
6/30/21,164833,,Staten Island,Richmond,NY,10309,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,12/7/18,1/17/19,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],9,"LONGi Green Energy Technology Co., Ltd.",LR6-60PB-300M,9,10530,810,2.7,3088,,No,No,No,POINT (-74.215396 40.532063)
6/30/21,259161,,Seaford,Nassau,NY,11783,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,8/18/20,10/1/20,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,30371.58,,7.48,9485,,No,No,Yes,POINT (-73.491332 40.67888)
6/30/21,2225,17947-1,Melville,,NY,11747,Non-Residential,Residential/Small Commercial,ARRA Projects,Long Island Power Authority,,12/29/11,12/29/11,Complete,,PV Powered,PVP260KW,2,SunPower,T5-SPR-308E,976,,,300.61,738790,,No,No,No,POINT (-73.408441 40.788271)
6/30/21,35077,4704-64818,Riverhead,Suffolk,NY,11901,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,5/18/15,8/24/15,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,19,27664,524,4.94,3670,No,No,No,No,POINT (-72.64848 40.932807)
6/30/21,251341,,Brooklyn,Kings,NY,11238,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,6/27/20,7/16/20,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG370Q1C-A5,13,26147.89,962,4.81,5812,,No,No,No,POINT (-73.963817 40.67988)
6/30/21,237072,,Queens,Kings,NY,11372,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2/26/20,6/12/20,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB3.8-1SP-US-40 [208V],1,LG Electronics Inc.,LG375Q1C-V5,8,29457.5,600,3,3120,,No,No,No,POINT (-73.883959 40.751948)
6/30/21,77487,,Merrick,Nassau,NY,11566,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,2/3/17,5/24/17,Complete,Grid City Electric Corp,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,LG Electronics,LG320N1C-G4,23,26128,,7.36,8937,,No,No,Yes,POINT (-73.555545 40.668671)
6/30/21,241698,,Jericho,Nassau,NY,11753,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,7/23/20,8/13/20,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,42635.58,,7.48,8220,,No,No,Yes,POINT (-73.537344 40.788138)
6/30/21,54939,4502-69553-GJ,East Northport,Suffolk,NY,11731,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,8/26/15,5/19/17,Complete,"You Save Green, Inc",SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Hyundai Heavy Industries,HiS-S270RG,19,20000,749,5.13,5188,No,No,No,Yes,POINT (-73.317892 40.864834)
6/30/21,9625,4355-87483-GJ,Miller Place,Suffolk,NY,11764,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,1/21/16,5/12/16,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,SunPower,SPR-E20-327,17,23359,534,5.56,3664,No,No,No,Yes,POINT (-72.987121 40.942532)
6/30/21,275807,,MASSAPEQUA PARK,Nassau,NY,11762,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,11/13/20,2/1/21,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],22,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,22,29330.58,,7.48,8439,,No,No,Yes,POINT (-73.44727 40.683691)
6/30/21,262559,,Brooklyn,Kings,NY,11212,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/15/20,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],15,"S-Energy Co., Ltd.",SN310M-10T,15,39871,558,4.65,3797,,No,No,No,POINT (-73.913254 40.661868)
6/30/21,172337,,Staten Island,Richmond,NY,10307,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2/9/19,3/8/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG360Q1C-A5,10,16517,767,3.6,3449,,No,No,No,POINT (-74.242305 40.507933)
6/30/21,262070,,Bayside,Queens,NY,11361,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/10/20,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],14,"S-Energy Co., Ltd.",SN375M-10T,14,40585,972,4.86,5325,,No,No,No,POINT (-73.7738 40.76347)
6/30/21,179394,,Bronx,Bronx,NY,10469,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,3/21/19,8/6/19,Complete,SunPower Capital LLC,SunPower,SPR-X22-360-E-AC [240V],8,Sunpower,SPR-X22-360-E-AC,8,20108.98,864,2.88,3350,,No,No,No,POINT (-73.847397 40.86878)
6/30/21,238818,,Jamaica,Queens,NY,11436,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/3/20,8/10/20,Complete,1st Light Energy,SMA America,SB3.0-1SP-US-40 [208V],1,Hanwha Q CELLS,Q.PEAK DUO-G5 315,12,32866.74,756,3.78,4850,,No,No,No,POINT (-73.796836 40.675692)
6/30/21,159879,,Mamaroneck,Westchester,NY,10543,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,10/26/18,2/21/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,12,15489,668,3.48,2904,,No,No,No,POINT (-73.734488 40.952304)
6/30/21,38089,4704-68529,Brentwood,Suffolk,NY,11717,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,7/8/15,9/29/15,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,26,37856,906,6.76,8842,No,No,No,No,POINT (-73.247736 40.78528)
6/30/21,41228,4704-82297,Lynbrook,Nassau,NY,11563,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,11/30/15,5/9/17,Complete,Tesla Energy Operations Inc.,ABB,PVI-4.2-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,19,27664,731,4.94,5042,No,No,No,No,POINT (-73.673957 40.657513)
6/30/21,255952,,Queens,Queens,NY,11423,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,8/1/20,11/23/20,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG345N1C-V5,9,7388,621,3.11,3732,,No,No,No,POINT (-73.76856 40.716566)
6/30/21,84510,,Levittown,Nassau,NY,11756,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,5/1/17,6/2/17,Complete,Sunrise Energy Corp.,Enphase Energy,M215-60-2LL-S2X-IG,30,Hyundai Heavy Industries Green Energy Co.,HiS-S260RG(BK),30,31200,,7.8,9469,,No,No,Yes,POINT (-73.517198 40.725845)
6/30/21,258471,,Flushing,Queens,NY,11358,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,8/18/20,1/6/21,Complete,Momentum Solar (dba for Pro Custom Solar LLC),Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],17,LG Electronics Inc.,LG350N1C-V5,17,19600,643,5.95,4397,,No,No,No,POINT (-73.796208 40.760971)
6/30/21,266158,,Port Jefferson Station,Suffolk,NY,11776,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/1/20,3/23/21,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],34,Solaria Corporation,Solaria PowerXT-370R-PD,34,35692,,12.58,11847,,No,No,Yes,POINT (-73.047042 40.912552)
6/30/21,275056,,Jamaica,Queens,NY,11419,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,11/11/20,12/30/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],11,LG Electronics Inc.,LG350N1C-V5,11,16709,770,3.85,4783,,No,No,No,POINT (-73.822985 40.689125)
6/30/21,300870,,Brooklyn,Kings,NY,11223,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,6/19/21,,Pipeline,,SunPower,SPR-X22-370-D-AC [240V],2,Sunpower,SPR-X22-370-E-AC,10,16200,740,3.7,4497,,No,No,No,POINT (-73.972307 40.597805)
6/30/21,45608,4704-95691,Clifton Park,Saratoga,NY,12065,Residential,Residential/Small Commercial,PON 2112,National Grid,Lease,4/11/16,5/15/17,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,REC Solar,REC260PE Z-LINK,15,18135,905,3.9,4961,No,No,No,No,POINT (-73.783424 42.852843)
6/30/21,272338,,Mattituck,Suffolk,NY,11952,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/26/20,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],26,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,26,32584.06,,8.84,6420,,No,No,Yes,POINT (-72.540397 40.995965)
6/30/21,38251,5098-76548,Sea Cliff,Nassau,NY,11579,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,10/5/15,5/4/16,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),13,LG Electronics Solar Cell Division,LG275S1C-B3,13,12154.06,565,3.58,3681,No,No,No,No,POINT (-73.644218 40.845932)
6/30/21,40950,4704-81440,Floral Park,Nassau,NY,11001,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,11/18/15,8/2/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,REC Solar,REC260PE Z-LINK,17,24752,442,4.42,5833,No,No,No,No,POINT (-73.706441 40.722685)
6/30/21,58257,5170-80268XX-IRH,setauket,Suffolk,NY,11733,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,12/1/15,12/21/16,Complete,R & B Quality Electric,SMA America,SB5000TL-US-22 (240V),1,LG Electronics Solar Cell Division,LG260S1C-B3,24,36900,911,6.24,6050,No,No,No,No,POINT (-73.105 40.93232)
6/30/21,8671,4704-76872,Roosevelt,Nassau,NY,11575,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,10/7/15,2/8/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,11,16016,572,2.86,3847,No,No,No,No,POINT (-73.586597 40.680654)
6/30/21,257116,,The Bronx,Bronx,NY,10473,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,8/5/20,10/8/20,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [240V],12,Sunpower,SPR-E20-327-E-AC,12,26860.26,785,3.92,4269,,No,No,No,POINT (-73.856919 40.819283)
6/30/21,180930,,Jamaica,Queens,NY,11417,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,5/3/19,6/18/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,11,16762,762,3.85,3432,,No,No,No,POINT (-73.844504 40.676341)
6/30/21,114889,,Bronx,Bronx,NY,10469,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/9/18,6/4/18,Complete,Amergy Solar Inc.,SolarEdge Technologies Ltd.,SE3000H-US,1,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,7,12500,840,2.1,2759,,No,No,No,POINT (-73.847397 40.86878)
6/30/21,7922,4704-67568,Port Jefferson Station,Suffolk,NY,11776,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,6/22/15,11/5/15,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.18,24,34944,699,6.24,8288,No,No,No,No,POINT (-73.047042 40.912552)
6/30/21,152854,,Williston Park,Nassau,NY,11596,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,12/17/18,2/27/19,Complete,Sunrise Energy Corp.,Enphase Energy Inc.,IQ6-60-x-US [240V],27,"Jinko Solar Co., Ltd",JKM295M-60,27,31827.5,,7.97,10155,,No,No,Yes,POINT (-73.64339 40.75915)
6/30/21,238742,,THORNWOOD,Westchester,NY,10594,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,3/12/20,4/9/20,Complete,Vivint Solar Development LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],38,Hanwha Q CELLS,Q.PEAK BLK-G4.1 300,38,36584.4,935,11.4,6080,,No,No,No,POINT (-73.773597 41.11809)
6/30/21,58752,5194-79544 GJ,Patchogue,Suffolk,NY,11772,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,11/19/15,4/19/16,Complete,GreenLeaf Solar,SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Hyundai Heavy Industries,HiS-S275RG(BK),18,19554,723,4.95,4801,No,No,No,Yes,POINT (-72.995552 40.76922)
6/30/21,214511,,Brooklyn,Kings,NY,11237,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/28/19,3/18/20,Complete,1st Light Energy,SMA America,SB3.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG335N1C-V5,9,26996,905,3.02,3466,,No,No,No,POINT (-73.920579 40.703714)
6/30/21,259727,,White Plains,Westchester,NY,10607,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,11/17/20,12/15/20,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],10,LG Electronics Inc.,LG350N1C-V5,10,19040,392,3.5,2576,,No,No,No,POINT (-73.809945 41.039855)
6/30/21,46958,4629-0124-Financing,Long Beach,Nassau,NY,11561,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,6/14/16,10/28/16,Complete,Harvest Power,SolarEdge Technologies,SE5000 (208V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG320N1C-G4,17,24646.2,,5.44,7166,No,No,No,Yes,POINT (-73.660291 40.588332)
6/30/21,155013,,Wantagh,Nassau,NY,11793,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/21/18,1/17/19,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE10000H-US [240V],1,SANYO ELECTRIC CO LTD OF PANASONIC GROUP,VBHN330SA16,38,45520.2,,12.54,13842,,No,No,Yes,POINT (-73.510289 40.683611)
6/30/21,101154,,Massapequa,Nassau,NY,11758,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/9/17,11/8/17,Complete,Sunrise Energy Corp.,Enphase Energy,M250-60-2LL-S2x (-ZC) (-NA) (240V),40,LG Electronics,LG320N1C-A5,40,75590,,12.8,15554,,No,No,Yes,POINT (-73.460296 40.682417)
6/30/21,20995,4704-57541,Centerport,Suffolk,NY,11721,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,1/23/15,5/15/15,Complete,Tesla Energy Operations Inc.,ABB,PVI 5000 OUTD-US-Z-M (240 V),1,Trina Solar,TSM-255PD05.18,26,37128,875,6.63,4344,No,No,No,No,POINT (-73.373618 40.891844)
6/30/21,2507,58,Montauk,,NY,11954,Non-Residential,Residential/Small Commercial,ARRA Projects,Long Island Power Authority,,5/18/12,5/18/12,Complete,,Enphase Energy,M215-60-2LL-S2X,1,Schott Solar,PERFORM POLY 245,51,,,12.5,13886,,No,No,No,POINT (-71.949914 41.042541)
6/30/21,167184,,Bronx,Bronx,NY,10472,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,1/3/19,2/26/19,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,REC Solar,REC290TP2 BLK,11,10215,957,3.19,4234,,No,No,No,POINT (-73.869836 40.829533)
6/30/21,111882,,Brooklyn,Kings,NY,11215,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2/7/18,3/23/18,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB3.0-1SP-US-40 (208V),1,LG Electronics,LG335N1C-A5,5,60607,670,1.68,2047,,No,No,No,POINT (-73.982561 40.666202)
6/30/21,235944,,BRONX,Bronx,NY,10473,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,2/13/20,1/4/21,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],9,LG Electronics Inc.,LG350N1C-V5,9,12978,945,3.15,3836,,No,No,No,POINT (-73.856919 40.819283)
6/30/21,39218,4704-69986,Shirley,Suffolk,NY,11967,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,7/28/15,12/2/15,Complete,Tesla Energy Operations Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Canadian Solar,CS6P-250PX,14,19600,350,3.5,2339,No,No,No,No,POINT (-72.872417 40.794939)
6/30/21,288056,,Brooklyn,Kings,NY,11207,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,1/22/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],6,LG Electronics Inc.,LG350N1C-V5,6,8211,420,2.1,2269,,No,No,No,POINT (-73.893934 40.670047)
6/30/21,223217,,Center Moriches,Suffolk,NY,11934,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,1/10/20,3/6/20,Complete,Green Logic LLC,SunPower,SPR-X22-360-E-AC [240V],21,Sunpower,SPR-X22-360-E-AC,21,29383,,7.56,7101,,No,No,Yes,POINT (-72.795143 40.803541)
6/30/21,303572,,Woodhaven,Queens,NY,11421,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Power Purchase Agreement,4/21/21,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],7,Hanwha Q CELLS,Q.PEAK DUO BLK ML-G9+ 380,7,17586.4,532,2.66,2838,,No,No,No,POINT (-73.856988 40.691687)
6/30/21,296502,,Jamaica,Queens,NY,11434,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,3/13/21,6/2/21,Complete,Sunnova Energy Corp.,Enphase Energy Inc.,IQ7PLUS-72-x-US-& [240V],6,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,6,7774.26,282,2.04,1901,,No,No,No,POINT (-73.775656 40.676003)
6/30/21,264501,,Staten Island,Richmond,NY,10301,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/24/20,1/11/21,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],15,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,15,43173,960,4.8,5662,,No,No,No,POINT (-74.094327 40.628276)
6/30/21,245443,,Levittown,Nassau,NY,11756,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,4/30/20,9/16/20,Complete,EmPower Solar,SunPower,SPR-A415-G-AC [240V],25,Sunpower,SPR-A415-G-AC,25,38041,,10.38,12088,,No,No,Yes,POINT (-73.517198 40.725845)
6/30/21,50395,5160-69813,Levittown,Nassau,NY,11756,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,8/19/15,2/10/17,Complete,Vivint Solar Development LLC,Enphase Energy,M215-60-2LL-S2X-IG,17,Trina Solar,TSM-260PD05.08,17,22029,681,4.42,0,,No,No,No,POINT (-73.517198 40.725845)
6/30/21,2509,19,Great Neck,,NY,11020,Non-Residential,Residential/Small Commercial,ARRA Projects,Long Island Power Authority,,12/27/11,12/27/11,Complete,,SunPower,SPR-6000m (240V),7,SunPower,PL-SUNP-SPR-305,177,,,50.28,55975,,No,No,No,POINT (-73.71491 40.771498)
6/30/21,110946,,Tonawanda,Erie,NY,14150,Residential,Residential/Small Commercial,PON 2112,National Grid,Purchase,2/14/18,4/26/18,Complete,"Solar Liberty Energy Systems, Inc.",SolarEdge Technologies Ltd.,SE7600A-US (240V),0,LG Electronics,LG315N1C-G4,8,7460,882,2.52,2572,,No,No,No,POINT (-78.867291 42.999597)
6/30/21,122382,,BRONX,Bronx,NY,10466,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,6/5/18,9/12/18,Complete,Sunnova Energy Corp.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK BLK-G4.1 295,14,13952.91,867,4.13,4748,,No,No,No,POINT (-73.846822 40.891057)
6/30/21,8408,4704-72458,Central Islip,Suffolk,NY,11722,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,9/4/15,1/12/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,26,36400,962,6.5,8569,No,No,No,No,POINT (-73.198651 40.783771)
6/30/21,152432,,Bethpage,Nassau,NY,11714,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,9/5/18,10/24/18,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE3800 [240V],1,"S-Energy Co., Ltd.",SN355M-10,12,16832.4,,4.26,5603,,No,No,Yes,POINT (-73.484996 40.740895)
6/30/21,70372,,Woodmere,Nassau,NY,11598,Residential,Residential/Small Commercial,PON 2112,Long Island Power Authority,Purchase,10/10/16,1/19/17,Complete,EmPower Solar,SMA America,SB7700TL-US-22-240V,2,SunPower,SPR-E20-327-C-AC,31,37016.13,,10.14,11525,,No,No,Yes,POINT (-73.713011 40.632427)
6/30/21,9000,5159-80302,Middle Island,Suffolk,NY,11953,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Power Purchase Agreement,12/2/15,2/25/16,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,11,16100.7,515,3.3,4306,No,No,No,No,POINT (-72.951129 40.884631)
6/30/21,46836,4704-81362,Valley Stream,Nassau,NY,11580,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,11/18/15,5/31/16,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-255PD05.18,12,17136,379,3.06,4041,No,No,No,No,POINT (-73.704051 40.674737)
6/30/21,316591,,Glen Oaks,Queens,NY,11004,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,6/30/21,,Pipeline,,Enphase Energy Inc.,IQ6-60-2-US [240V],14,LG Electronics Inc.,LG350N1K-A6,14,32830,980,4.9,5530,,No,No,No,POINT (-73.712092 40.745241)
6/30/21,262423,,Hollis,Queens,NY,11423,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,9/12/20,10/21/20,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],13,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,13,41586,832,4.16,4797,,No,No,No,POINT (-73.76856 40.716566)
6/30/21,290287,,Fresh Meadows,Queens,NY,11365,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,2/6/21,3/31/21,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],12,LG Electronics Inc.,LG340N1C-V5,12,17136,816,4.08,4810,,No,No,No,POINT (-73.793039 40.739381)
6/30/21,161578,,Peekskill,Westchester,NY,10566,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,11/27/18,1/14/19,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,REC Solar,REC290TP2 BLK,13,12583,871,3.77,3597,,No,No,No,POINT (-73.917154 41.289818)
6/30/21,7954,4704-67834,West Islip,Suffolk,NY,11795,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Lease,6/25/15,11/18/15,Complete,Tesla Energy Operations Inc.,ABB,PVI-4.2-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,23,33488,945,5.98,6705,No,No,No,No,POINT (-73.298729 40.711073)
6/30/21,8505,4355-75557-GJ,Hicksville,Nassau,NY,11801,Residential,Residential/Small Commercial,PON 2112LI,Long Island Power Authority,Purchase,10/1/15,12/29/15,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,SunPower,SPR-E20-327,14,22956,916,4.58,5646,No,No,No,Yes,POINT (-73.523021 40.762643)
6/30/21,298049,,Brooklyn,Kings,NY,11213,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/23/21,5/24/21,Complete,"Brooklyn SolarWorks, LLC",SMA America,SB5.0-1SP-US-40 [208V],1,LG Electronics Inc.,LG390Q1C-A6,12,33161,936,4.68,5751,,No,No,Yes,POINT (-73.936641 40.671145)
6/30/21,280,01001-00022,Liverpool,Onondaga,NY,13090,Non-Residential,Residential/Small Commercial,PON 1184,,,8/2/03,9/10/04,Complete,"Solar Works, Inc.",SMA America,SWR2500U (240V),1,GE Energy,GEPVp-100-M,20,,,2,,,No,No,No,POINT (-76.221843 43.149294)
6/30/21,165103,,Staten Island,Richmond,NY,10309,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Lease,12/5/18,2/6/19,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG330N1C-A5,10,14076,624,3.3,2797,,No,No,No,POINT (-74.215396 40.532063)
6/30/21,240680,,Queens,Queens,NY,11367,Residential,Residential/Small Commercial,PON 2112,Consolidated Edison,Purchase,3/21/20,7/22/20,Complete,SunPower Capital LLC,SunPower,SPR-E20-327-E-AC [208V],14,Sunpower,SPR-E20-327-E-AC,14,24950,916,4.58,5193,,No,No,No,POINT (-73.824338 40.729914)
